sector,cam_ccd,orbit,rms_date,ra,dec,suspected source type,notes,plot_file,lc_file,fcol,frow
101,cam1_ccd1,o1a,4101,178.35572302600235,-32.96771597816651,,,sector101/multiple/lc_outcatrms_day_4101_cam1_ccd1_cand1cam1_ccd1.jpg,lc/lc_outcatrms_day_4101_cam1_ccd1_cand1.txt,1134.4101,1857.4665
101,cam3_ccd2,o1a,4101,220.31943714014832,-73.6265326049672,,,sector101/multiple/lc_outcatrms_day_4101_cam3_ccd2_cand15cam3_ccd2.jpg,lc/lc_outcatrms_day_4101_cam3_ccd2_cand15.txt,796.6692,1985.1229
101,cam2_ccd3,o1a,4102,192.26766181430963,-42.50493422844833,,,sector101/multiple/lc_outcatrms_day_4102_cam2_ccd3_cand5cam2_ccd3.jpg,lc/lc_outcatrms_day_4102_cam2_ccd3_cand5.txt,1961.5272,399.1566
101,cam3_ccd3,o1a,4102,240.00737309791452,-81.72665253908477,,,sector101/multiple/lc_outcatrms_day_4102_cam3_ccd3_cand2cam3_ccd3.jpg,lc/lc_outcatrms_day_4102_cam3_ccd3_cand2.txt,545.3024,855.2681
101,cam4_ccd4,o1a,4103,308.96623364360715,-54.25982595736227,,,sector101/multiple/lc_outcatrms_day_4103_cam4_ccd4_cand9cam4_ccd4.jpg,lc/lc_outcatrms_day_4103_cam4_ccd4_cand9.txt,1700.5436,143.1016
101,cam2_ccd4,o1a,4104,192.86657190874587,-49.70410763761116,,,sector101/multiple/lc_outcatrms_day_4104_cam2_ccd4_cand15cam2_ccd4.jpg,lc/lc_outcatrms_day_4104_cam2_ccd4_cand15.txt,237.6998,1572.8136
101,cam3_ccd2,o1a,4104,201.45592439309056,-71.65804383854562,,,sector101/multiple/lc_outcatrms_day_4104_cam3_ccd2_cand23cam3_ccd2.jpg,lc/lc_outcatrms_day_4104_cam3_ccd2_cand23.txt,1347.2394,1111.9172
101,cam1_ccd2,o1a,4105,196.39933438788935,-38.25357051632727,,,sector101/multiple/lc_outcatrms_day_4105_cam1_ccd2_cand16cam1_ccd2.jpg,lc/lc_outcatrms_day_4105_cam1_ccd2_cand16.txt,1011.6017,66.9526
101,cam2_ccd3,o1a,4106,194.24010591756692,-44.88047988417747,,,sector101/multiple/lc_outcatrms_day_4106_cam2_ccd3_cand15cam2_ccd3.jpg,lc/lc_outcatrms_day_4106_cam2_ccd3_cand15.txt,1910.8776,885.6375
101,cam3_ccd3,o1a,4106,221.2136475349964,-76.92300892740066,,,sector101/multiple/lc_outcatrms_day_4106_cam3_ccd3_cand16cam3_ccd3.jpg,lc/lc_outcatrms_day_4106_cam3_ccd3_cand16.txt,939.525,1813.1527
101,cam4_ccd1,o1a,4106,274.20459561466157,-68.21574025208936,,,sector101/multiple/lc_outcatrms_day_4106_cam4_ccd1_cand8cam4_ccd1.jpg,lc/lc_outcatrms_day_4106_cam4_ccd1_cand8.txt,1311.7375,417.2904
101,cam4_ccd4,o1a,4106,304.68911433265765,-67.18413275771172,,,sector101/multiple/lc_outcatrms_day_4106_cam4_ccd4_cand17cam4_ccd4.jpg,lc/lc_outcatrms_day_4106_cam4_ccd4_cand17.txt,177.5914,1904.3336
101,cam2_ccd4,o1b,4107,178.680151210858,-46.74760738961627,,,sector101/multiple/lc_outcatrms_day_4107_cam2_ccd4_cand24cam2_ccd4.jpg,lc/lc_outcatrms_day_4107_cam2_ccd4_cand24.txt,1644.4327,534.5404
101,cam4_ccd2,o1b,4107,285.6375264587054,-78.08080839423268,,,sector101/multiple/lc_outcatrms_day_4107_cam4_ccd2_cand16cam4_ccd2.jpg,lc/lc_outcatrms_day_4107_cam4_ccd2_cand16.txt,948.0022,545.3279
101,cam2_ccd2,o1b,4108,206.30630727135932,-57.16514689341815,,,sector101/multiple/lc_outcatrms_day_4108_cam2_ccd2_cand18cam2_ccd2.jpg,lc/lc_outcatrms_day_4108_cam2_ccd2_cand18.txt,294.3424,850.5134
101,cam4_ccd3,o1b,4108,325.9590180197674,-67.32088240492871,,,sector101/multiple/lc_outcatrms_day_4108_cam4_ccd3_cand12cam4_ccd3.jpg,lc/lc_outcatrms_day_4108_cam4_ccd3_cand12.txt,1282.1487,976.2108
101,cam2_ccd1,o1b,4109,195.33483637567116,-55.69053791035641,,,sector101/multiple/lc_outcatrms_day_4109_cam2_ccd1_cand53cam2_ccd1.jpg,lc/lc_outcatrms_day_4109_cam2_ccd1_cand53.txt,1695.7631,1598.9647
101,cam2_ccd2,o1b,4109,209.47228303156174,-52.70158464111513,,,sector101/multiple/lc_outcatrms_day_4109_cam2_ccd2_cand22cam2_ccd2.jpg,lc/lc_outcatrms_day_4109_cam2_ccd2_cand22.txt,1000.6205,1284.4853
101,cam2_ccd2,o1b,4109,202.24167386279174,-54.206744658365935,,,sector101/multiple/lc_outcatrms_day_4109_cam2_ccd2_cand23cam2_ccd2.jpg,lc/lc_outcatrms_day_4109_cam2_ccd2_cand23.txt,243.627,1494.9303
101,cam3_ccd2,o1b,4109,196.5823051476587,-75.10552385408936,,,sector101/multiple/lc_outcatrms_day_4109_cam3_ccd2_cand47cam3_ccd2.jpg,lc/lc_outcatrms_day_4109_cam3_ccd2_cand47.txt,1848.707,1527.0271
101,cam1_ccd1,o1b,4110,178.8595294025536,-41.53915977630221,,,sector101/multiple/lc_outcatrms_day_4110_cam1_ccd1_cand25cam1_ccd1.jpg,lc/lc_outcatrms_day_4110_cam1_ccd1_cand25.txt,763.7819,389.9552
101,cam1_ccd2,o1b,4110,193.8133417562959,-36.2356995451161,,,sector101/multiple/lc_outcatrms_day_4110_cam1_ccd2_cand33cam1_ccd2.jpg,lc/lc_outcatrms_day_4110_cam1_ccd2_cand33.txt,826.4105,560.6918
101,cam3_ccd2,o1b,4110,198.2333958482804,-67.04904014832734,,,sector101/multiple/lc_outcatrms_day_4110_cam3_ccd2_cand49cam3_ccd2.jpg,lc/lc_outcatrms_day_4110_cam3_ccd2_cand49.txt,1144.889,298.2381
101,cam4_ccd1,o1b,4110,276.7323935580932,-61.61205296365625,,,sector101/multiple/lc_outcatrms_day_4110_cam4_ccd1_cand17cam4_ccd1.jpg,lc/lc_outcatrms_day_4110_cam4_ccd1_cand17.txt,194.9061,809.8057
101,cam2_ccd4,o1b,4111,186.35417239462245,-51.43710267951116,,,sector101/multiple/lc_outcatrms_day_4111_cam2_ccd4_cand32cam2_ccd4.jpg,lc/lc_outcatrms_day_4111_cam2_ccd4_cand32.txt,1006.9836,1583.5832
101,cam4_ccd1,o1b,4111,291.03225500980614,-66.37170928821867,,,sector101/multiple/lc_outcatrms_day_4111_cam4_ccd1_cand21cam4_ccd1.jpg,lc/lc_outcatrms_day_4111_cam4_ccd1_cand21.txt,1358.5588,1593.3109
101,cam4_ccd2,o1b,4111,299.1795920122079,-70.77822582801763,,,sector101/multiple/lc_outcatrms_day_4111_cam4_ccd2_cand25cam4_ccd2.jpg,lc/lc_outcatrms_day_4111_cam4_ccd2_cand25.txt,98.1714,1674.7065
101,cam4_ccd3,o1b,4111,337.49623648830226,-75.66421938957791,,,sector101/multiple/lc_outcatrms_day_4111_cam4_ccd3_cand7cam4_ccd3.jpg,lc/lc_outcatrms_day_4111_cam4_ccd3_cand7.txt,51.8414,1980.2591
101,cam1_ccd3,o2a,4114,181.10769203147441,-18.297465287420643,,,sector101/multiple/lc_outcatrms_day_4114_cam1_ccd3_cand62cam1_ccd3.jpg,lc/lc_outcatrms_day_4114_cam1_ccd3_cand62.txt,2018.0879,32.8482
101,cam3_ccd3,o2a,4114,262.86063561651235,-77.19266257749598,,,sector101/multiple/lc_outcatrms_day_4114_cam3_ccd3_cand28cam3_ccd3.jpg,lc/lc_outcatrms_day_4114_cam3_ccd3_cand28.txt,1461.3045,311.734
101,cam1_ccd4,o2a,4115,175.6698362656212,-26.035942943966987,,,sector101/multiple/lc_outcatrms_day_4115_cam1_ccd4_cand43cam1_ccd4.jpg,lc/lc_outcatrms_day_4115_cam1_ccd4_cand43.txt,1072.6242,1086.7343
101,cam2_ccd4,o2a,4115,177.9717138133468,-53.74892259450724,,,sector101/multiple/lc_outcatrms_day_4115_cam2_ccd4_cand35cam2_ccd4.jpg,lc/lc_outcatrms_day_4115_cam2_ccd4_cand35.txt,1987.1529,1723.144
101,cam3_ccd3,o2a,4115,222.45892885150738,-78.60512644879954,,,sector101/multiple/lc_outcatrms_day_4115_cam3_ccd3_cand31cam3_ccd3.jpg,lc/lc_outcatrms_day_4115_cam3_ccd3_cand31.txt,744.8098,1588.1003
101,cam2_ccd4,o2a,4116,178.71099215536836,-52.11486712757714,,,sector101/multiple/lc_outcatrms_day_4116_cam2_ccd4_cand39cam2_ccd4.jpg,lc/lc_outcatrms_day_4116_cam2_ccd4_cand39.txt,1845.4548,1461.6735
